,code,label_n1,label_n2,description,commentaire
0,CDIS,Désordre civil,,"Perturbations civiles, ainsi que des violences contre la population civile, menant à une souffrance humaine et créant des besoins que les victimes doivent pallier.",
1,DIS,Catastrophe causée par l'homme ou naturelle,,"Les désastres naturels ou causés par l'homme mènent à des détresses humaines, et créent des besoins auxquels les victimes doivent répondre.",
2,TER,Terrorisme,,"L'usage ou menace d'usage de violence contre la population civile, souvent à des fins politiques, pour intimider ou atteindre ses adversaires.",
3,CDIS/RIOT,Désordre civil,Émeute,Manifestation ou protestation où les autorités n'ont pas le contrôle.,
4,DIS/CBRN,Catastrophe causée par l'homme ou naturelle,"Incident chimique, biologique, radiologique ou nucléaire","Incident chimique, biologique, radiologique ou nucléaire.",
5,DIS/ERTHQK,Catastrophe causée par l'homme ou naturelle,Tremblement de terre,"Une série de vibrations dans la croûte terrestre causée par la rupture et le rebond soudain des roches, où la tension accumulée se libère lentement.",
6,DIS/FIRE,Catastrophe causée par l'homme ou naturelle,Incendie,"Un état, processus ou instance de combustion où le carburant est allumé et combiné à l'oxygène, produisant lumière, chaleur et flammes.",
7,DIS/FLOOD,Catastrophe causée par l'homme ou naturelle,Inondation,L'envahissement des terres par la montée et le débordement d'un corps d'eau.,
8,DIS/INDHAZ,Catastrophe causée par l'homme ou naturelle,Danger industriel,"Une situation dangereuse impliquant des installations industrielles qui pose un risque pour la santé, la propriété ou l'environnement.",
9,DIS/LNDSLD,Catastrophe causée par l'homme ou naturelle,Glissement de terrain,"Le mouvement descendant ou le glissement d'une grande quantité de sol, débris ou roches sur une pente ou une surface.",
10,DIS/PWROUT,Catastrophe causée par l'homme ou naturelle,Coupure de courant,"Une interruption de l'alimentation électrique (aussi connue sous le nom de panne électrique, coupure ou blackout) où il y a une perte totale de l'approvisionnement en électricité dans une zone.",
11,DIS/RADCNT,Catastrophe causée par l'homme ou naturelle,Contamination par radiation,Terme utilisé pour décrire une contamination nucléaire.,
12,DIS/SNOW,Catastrophe causée par l'homme ou naturelle,Conditions de neige poudreuse,"Cristaux de glace, principalement de forme hexagonale et ramifiée, qui s'agglomèrent principalement en flocons, formés directement par la congélation de l'eau vapeur dans l'air.",
13,DIS/STCLPS,Catastrophe causée par l'homme ou naturelle,Effondrement de structure,Terme utilisé pour décrire un bâtiment ou une structure qui s'est effondré.,
14,DIS/STORM,Catastrophe causée par l'homme ou naturelle,Tempête,"Une perturbation de l'état normal de l'atmosphère, se manifestant par des vents d'intensité ou de direction inhabituelles, souvent accompagnée de pluie, neige, grêle, tonnerre, éclair ou de sable ou poussière volants.",
15,DIS/TRSPRT,Catastrophe causée par l'homme ou naturelle,Incident de transport,Incident d'urgence impliquant une forme de transport.,
16,DIS/TSNAMI,Catastrophe causée par l'homme ou naturelle,Tsunami,Une très grande vague produite par un séisme sous-marin ou une éruption volcanique sous-marine.,
