,code,label_n1,description,commentaire
0,R01,Dommage exclusivement matériel,Usage métier DGGN permettant la graduation matériel / corporel / mortel,
1,R02,Auteur(s) en fuite,,
2,R03,Présence d’individu(s) ou public menaçant,,
3,R04,Présence d’individu(s) muni(s) d’une arme blanche,,
4,R05,Présence d’individu(s) muni(s) d’une arme à feu,,
5,R06,Suspicion d'attaque terroriste,,
6,R07,Présence de matière ou matériel dangereux,"Ex : armes, matière dangereuse non identifiée",
7,R08,Présence de matière radiologique ou nucléaire civile ou militaire,A saisir si le caractère civil ou militaire n’est pas connu,
8,R11,Présence de matière bactériologique,,
9,R12,Présence de matière chimique,,
10,R13,"Risque d'explosion, présence de gaz",,
11,R14,Risque lié à l'incendie,,
12,R15,Risque d'effondrement,,
13,R16,Présence d'animal dangereux,,
14,R17,Nuée d'insectes,,
15,R18,Inondation,,
16,R19,Risque électrique/ risque lié à une ligne HT ou THT,HT / THT : Haute Tension / Très Haute Tension,
17,R20,Difficulté d’accès sur site,Ex : milieu montagneux hors voie carrossable,
18,R21,Difficulté d’accès au patient/victime,Ex : porte verrouillée,
19,R22,Gêne à la circulation,,
20,R23,Implication d’un élus,En vue d’un traitement avec remontée hiérarchique,
21,R24,Implication d’un agent public,En vue d’un traitement sans remontée hiérarchique systématique,
22,R25,Implication d’une personnalité,Ex : VIP,
23,R26,Implication de plusieurs personnes (2 à 10),"En vue de permettre aux forces de sécurité d’adapter leur dispositif d’intervention. Les autres informations contextuelles (nature des personnes impliquées, attitude, …) sont à qualifier en champ libre. A aborder par l’opérateur en même temps que le nombre de patients/victimes.",
24,R27,Implication de nombreuses personnes (11 et+),"En vue de permettre aux forces de sécurité d’adapter leur dispositif d’intervention. Les autres informations contextuelles (nature des personnes impliquées, attitude, …) sont à qualifier en champ libre. A aborder par l’opérateur en même temps que le nombre de patients/victimes.",
25,R28,Patient/Victime incarcéré,,
26,R31,Patient/Victime dans l'eau,,
27,R32,Patient/Victime confiné,,
28,R33,Patient/Victime violent,,
29,R34,Patient/Victime vulnérable,Ex : personnes mineures,
30,R35,Patient/Victime contagieux,Ex : prise en charge de patients tuberculeux,
31,R37,Situation instable/indéterminée,En vue d’alerter les professionnels intervenant sur place d'un possible risque de dégradation de la situation (ex: reconnaissance sur site non achevée),
32,R60,"Risque d'explosion, présence de gaz (bouteilles)",,
33,R61,Présence de matière ou matériel explosif,,
34,R62,GPL ou carburation non conventionnelle ,,
35,R63,Engin Propulsion / Traction électrique,,
36,R64,Levée de doute ou sinistre naissant,Qualifie une situation pour laquelle les lieux les premiers moyens sur les lieux vont rencontrer des difficultés pour découvrir le sinistre. La découverte du sinitre ne sera pas flagrante,
37,R65,Présence de bétail,,
38,R66,Présence d'animal domestique,,
39,R67,Porte/accès verrouillé,,
40,R68,Patient / victime ejecté,,
41,R69,Patient/Victime non visible,,
42,R70,Carence prestataire extérieur,,
43,R71,Situation en profondeur ,En sous-sol/milieu difficile d'accès,
44,R72,Hauteur inférieure ou égale à 2 étages ( <= 8mètres),Conditionne le choix du vecteur à utiliser,
45,R73,Situation en milieu vicié,Atmosphère irrrespirable,
46,R74,Locaux à sommeil,,
47,R75,Gaz - Accident ou présence de travaux,,
48,R76,Gaz - Ouvrage endommagé visible,,
49,R77,Gaz - Ouvrage endommaé non visible,,
50,R78,Gaz - Dégâts apparents sur la conduite de gaz,,
51,R79,"Gaz - Bruits, sifflements, souffle, vibrations ou projections",,
52,R80,Gaz - Zone dense en population,,
53,R81,Gaz - Grand rassemblement de public,,
54,R82,Gaz - En sous-sol,,
55,R83,Nombreux appels,,
56,R84,Hauteur supérieure à 2 étages (> 8 mètres),,
57,R85,Hauteur supérieure à 7 étages (> 28 mètres),,
58,R86,Voie non carrossable,,
59,R88,Victime face à un danger immédiat,,
60,R89,Victime face à une menace plus ou moins différée,,
61,R90,Présence dans un lieu public non protégé ,Personne présente dans un lieu non protégé l'exposant au public ou à des conditions climatiques défavorable,
62,R91,Implication d’une autorité,,
